,settlement_date,settlement_period,wind_mw_value,dadf_mw_value,residual_mw_value,bsuos
0,02/01/2015,1,6805.0,27544.0,12635,7.80743
1,02/01/2015,2,6817.26446947799,27639.0,12548,7.91851
2,02/01/2015,3,6825.0,27391.0,12462,7.72728
3,02/01/2015,4,6828.756047815117,26770.0,11802,7.86584
4,02/01/2015,5,6829.0,26076.0,11143,8.02621
5,02/01/2015,6,6825.225484499053,26017.0,10876,8.05487
6,02/01/2015,7,6810.0,25523.0,10609,7.87489
7,02/01/2015,8,6810.952709400138,25191.0,10326,7.94981
8,02/01/2015,9,6815.0,24962.0,10043,7.80409
9,02/01/2015,10,6818.179515147267,24988.0,9564,8.02673
10,02/01/2015,11,6820.0,24009.0,9085,7.99934
11,02/01/2015,12,6806.985959860321,24642.0,10503,7.38238
12,02/01/2015,13,6782.0,26808.0,11922,8.39414
13,02/01/2015,14,6746.279778309086,28700.0,14033,8.82242
14,02/01/2015,15,6673.0,30922.0,16145,9.23719
15,02/01/2015,16,6637.631826149865,32575.0,17890,8.00274
16,02/01/2015,17,6498.0,34237.0,19635,6.93507
17,02/01/2015,18,6486.181219372477,35400.0,20849,4.59068
18,02/01/2015,19,6318.0,36486.0,22064,3.53816
19,02/01/2015,20,6347.456013917485,37113.0,22588,3.68683
20,02/01/2015,21,6394.0,37610.0,23112,3.26322
21,02/01/2015,22,6423.749888824589,37360.0,22888,2.75871
22,02/01/2015,23,6446.0,37214.0,22664,2.49017
23,02/01/2015,24,6438.105151462654,37282.0,22728,2.35078
24,02/01/2015,25,6433.0,37329.0,22792,2.17061
25,02/01/2015,26,6360.705962527856,37356.0,22970,1.84576
26,02/01/2015,27,6358.0,37610.0,23148,1.64026
27,02/01/2015,28,6289.697921008093,37666.0,23312,1.55053
28,02/01/2015,29,6224.0,37804.0,23476,1.986
29,02/01/2015,30,6099.016796214432,37662.0,23852,1.70996
30,02/01/2015,31,6071.0,38403.0,24228,1.40078
31,02/01/2015,32,6016.685660833503,39561.0,26051,1.36088
32,02/01/2015,33,5853.0,41831.0,27874,2.01662
33,02/01/2015,34,5826.158714002727,44722.0,30223,4.938
34,02/01/2015,35,5593.0,46270.0,32573,4.10803
35,02/01/2015,36,5180.20470726745,46243.0,32498,3.11088
36,02/01/2015,37,5128.0,45655.0,32423,2.43513
37,02/01/2015,38,5134.78925343303,44934.0,31391,2.22462
38,02/01/2015,39,5317.0,43780.0,30359,2.20229
39,02/01/2015,40,5498.931135058394,42427.0,28897,1.84324
40,02/01/2015,41,5504.0,41044.0,27436,1.78678
41,02/01/2015,42,5523.361755816087,39650.0,25891,2.68121
42,02/01/2015,43,5531.0,37982.0,24347,2.79517
43,02/01/2015,44,5502.640267524026,36018.0,22562,2.25881
44,02/01/2015,45,5464.0,34346.0,20778,3.1933
45,02/01/2015,46,5409.611678754923,32869.0,19203,3.32698
46,02/01/2015,47,5302.0,31034.0,17628,4.2394
47,02/01/2015,48,5190.134975523962,29730.0,17465,4.8052
48,03/01/2015,1,5037.0,30444.0,17303,4.88657
49,03/01/2015,2,4900.912909186133,30452.0,17250,4.81324
50,03/01/2015,3,4729.0,30031.0,17198,4.58266
51,03/01/2015,4,4656.711431463926,29234.0,16580,4.69178
52,03/01/2015,5,4416.0,28483.0,15963,4.13231
53,03/01/2015,6,4318.353712805134,28262.0,15767,3.71521
54,03/01/2015,7,4116.0,27791.0,15571,3.52219
55,03/01/2015,8,3983.389145222215,27372.0,15281,3.5161
56,03/01/2015,9,3822.0,26917.0,14991,4.26378
57,03/01/2015,10,3732.519512866355,26807.0,14436,3.5264
58,03/01/2015,11,3521.0,25507.0,13882,4.20636
59,03/01/2015,12,3238.476570335513,25964.0,14902,3.6743
60,03/01/2015,13,3207.0,27233.0,15922,2.40742
61,03/01/2015,14,2968.149568938612,28194.0,17193,2.2723
62,03/01/2015,15,2833.0,29402.0,18465,1.52689
63,03/01/2015,16,2634.174308473016,30539.0,20129,1.42829
64,03/01/2015,17,2435.0,32332.0,21793,1.30056
65,03/01/2015,18,2137.7249453496133,34117.0,23892,1.69708
66,03/01/2015,19,2117.0,36212.0,25991,1.65446
67,03/01/2015,20,2080.7374217523447,37468.0,27330,1.5787
68,03/01/2015,21,1887.0,38660.0,28669,1.37318
69,03/01/2015,22,1803.2989159124836,39056.0,29120,1.47806
70,03/01/2015,23,1794.0,39470.0,29572,1.2899
71,03/01/2015,24,1844.6107730187268,39449.0,29487,1.45015
72,03/01/2015,25,1880.0,39387.0,29403,1.77282
73,03/01/2015,26,1984.919760232959,39467.0,29278,1.70124
74,03/01/2015,27,2096.0,39354.0,29154,1.64129
75,03/01/2015,28,2226.5927620117,39277.0,28971,1.43128
76,03/01/2015,29,2396.0,39288.0,28788,1.15873
77,03/01/2015,30,2585.1701213782135,39200.0,28685,0.93604
78,03/01/2015,31,2753.0,39440.0,28583,0.55645
